id,name,brand,supplier,supplier_rating,rating,review_rating,feedbacks,price_basic,price_sale,discount_pct
611602912,Ноутбук 18.5'' IPS Intel i7 16ГБ 1024ГБ SSD 10000 мА ч,Vicyoung,WEIKELAI,4.7,5,5.0,7,99203.0,49948.0,49.7
962484496,Ноутбук I7-6700HQ Windows 11 Pro 16GB 1TB,Legion,Comp Comp,4.7,0,0.0,0,104000.0,40508.0,61.0
399500471,"17.3"" HD Ноутбук, Intel Celeron N5095, 20+512 ГБ, серебро",FRONSH,YATOB 3C,4.7,5,4.8,9,40595.0,25067.0,38.3
851022925,Ноутбук Legion 5 15IAX10 Ul7 255HX 16Gb SSD512Gb RTX 5060 8G,Lenovo,СИТИЛИНК Доставка,4.8,0,0.0,0,265418.0,206760.0,22.1
1095927958,"Ноутбук для работы и учебы 15.6""i7 32 ГБ +2048ГБ",,TabMax,4.8,5,5.0,64,60000.0,21033.0,64.9
611753437,"Ноутбук 15,6 дюйма AMD Ryzen 5 2500 16 ГБ 512 ГБ SSD",Vicyoung,laptop-Wangyue,4.7,3,3.0,2,36858.0,28362.0,23.1
952899514,"Ноутбуки Xiaoxin Pro 16 2025 AMD Ryzen 7 H 255 16"" 24ГБ 1TБ",Lenovo,HiGeek,4.9,5,5.0,3,91420.0,65822.0,28.0
462073401,"Игровой ноут 18.5"" IPS i5 16 1ТБ SSD 10000мАч FHD",Vicyoung,Official Laptop Store,4.6,5,5.0,3,68573.0,45601.0,33.5
748418683,ноутбук MagicBook X16 Ryzen 2026-R7 16Гб+512Гб серый,HONOR,Мировая электроника,4.9,2,2.4,33,72619.0,55553.0,23.5
720747825,Ноутбук ROG Strix G615LR-S5162 Ul7 255HX 16Gb SSD1Tb RTX5070,Asus,СИТИЛИНК Доставка,4.8,0,0.0,0,263770.0,205476.0,22.1
851022856,"Ноутбук игровой Legion 16"" OLED Ryzen9 32Гб 1Тб SSD RTX 5070",Lenovo,СИТИЛИНК Доставка,4.8,0,0.0,0,243991.0,190068.0,22.1
611591481,"Игровой ноутбук Intel i5-1038NG7 32ГБ SSD 2ТБ 18,5"" IPS FHD",Vicyoung,WEIKELAI,4.7,5,5.0,3,80002.0,48641.0,39.2
957193404,"Ноутбук 17,3 дюйма Full HD IPS 360Hz Intel i5 32ГБ 1024ГБ",Vicyoung,Official Laptop Store,4.6,5,5.0,4,68573.0,47555.0,30.7
863631550,"Игровой ноутбук i7-6700HQ Windows 11 Pro, 16 1TB, NVIDIA GTX…",PWR,Comp Comp,4.7,5,5.0,2,95000.0,37002.0,61.1
863707668,"Игровой ноутбук NNVIDIA GTX 1060-P106 （6GB）, 16 1TB",PWR,Comp Comp,4.7,0,0.0,0,97990.0,38167.0,61.1
632169742,"Ноутбук для учебы RB-1452 14"" IPS N95 16GB RAM, 1TB SSD",AZERTY,SamMarkt,4.7,5,4.8,119,58600.0,31498.0,46.2
740035766,2ТБ 32ГБ Ноутбук IPS 15.6 SSD для офиса,Asus,iБуран,4.5,4,4.3,78,49373.0,33869.0,31.4
1017075402,"Ноутбук 17.3"" 360ГЦ IPS Intel Core i5 32 2048ГБ",Vicyoung,Official Laptop Store,4.6,5,5.0,5,80002.0,50961.0,36.3
347299001,"Ноутбук 17.3"", Intel Pentium Gold 6500Y, 20+512 ГБ,Серебро",FRONSH,FRONSH,4.7,5,4.5,18,40001.0,25460.0,36.4
444536660,"Ноутбук для работы и учёбы 17.3"" i5-1038NG7 16 ГБ + 1024ГБ",Vicyoung,Official Laptop Store,4.6,5,5.0,2,62859.0,44786.0,28.8
608172099,"Ноутбук 15 6"" Intel Celeron N5095 серебристый",,haoyunlai,4.0,5,5.0,1,34287.0,16286.0,52.5
924752108,"Ноутбук игровой AMD R5 для работы и учебы 16.1"" 32ГБ+512ГБ",STARTRON,Магазин № 88,4.7,5,5.0,22,151500.0,30118.0,80.1
924752109,"Ноутбук игровой AMD R5 для работы и учебы 16.1"" 32ГБ+512ГБ",STARTRON,Магазин № 88,4.7,5,5.0,22,151500.0,30118.0,80.1
611753432,"Игровой ноутбук Intel i5-1038NG7 32ГБ SSD 2ТБ 18,5"" IPS FHD",Vicyoung,laptop-Wangyue,4.7,5,5.0,7,80002.0,49401.0,38.3
611606567,"Ноутбук 15,6 дюймов с процессором R7, 20 ГБ ОЗУ и 1024 ГБ",Vicyoung,WEIKELAI,4.7,5,5.0,4,57144.0,31486.0,44.9
611753434,"Ноутбук 18,5"" Intel Core i5 16 ГБ ОЗУ 512 ГБ SSD",Vicyoung,laptop-Wangyue,4.7,5,5.0,6,72231.0,46010.0,36.3
1144098402,Ноутбук 15.6 Intel Core i7 32ГБ 1ТБ SSD Windows,PWR,Comp Comp,4.7,0,0.0,0,80080.0,31191.0,61.1
611753435,"Ноутбук игровой 15.6"" AMD Ryzen 7 20ГБ 1024ГБ Windows 11",Vicyoung,laptop-Wangyue,4.7,5,5.0,10,49144.0,35015.0,28.8
611601248,"Ноутбук 17,3 дюйма Full HD IPS 360Hz Intel i5 16ГБ 2ТБ",Vicyoung,WEIKELAI,4.7,5,5.0,7,85717.0,48044.0,44.0
495531930,Ноутбук 18.5'' IPS Intel i5 16ГБ RAM 1024ГБ SSD 10000 мА ч,Vicyoung,Official Laptop Store,4.6,5,5.0,5,57144.0,31486.0,44.9
1046047760,"ноутбук zhaoyang Max16 AMD R7 16Гб+512Гб,серый",Lenovo,Мировая электроника,4.9,0,0.0,0,70711.0,50911.0,28.0
934700682,"Игровой ноутбук 16GB 512GB NVIDIA GTX 1060-P106 （6GB）, i7-67…",Lenovo,Comp Comp,4.7,0,0.0,0,95000.0,37002.0,61.1
1012992771,"Ноутбук, процессор Intel Core i7",LONGXIA,longxia,4.5,5,4.6,96,82000.0,40243.0,50.9
874742023,Ноутбук 32ГБ 2Т для работы и учебы с windows и офисом мощный,Asus,Древняя Русь,4.5,5,4.9,11,57144.0,31360.0,45.1
949109989,"Ноутбук 14"" Intel Celeron 2ТБ SSD 6ГБ Windows 10 Pro",PWR,Comp Comp,4.7,0,0.0,0,42000.0,16359.0,61.0
952080785,Ноутбуки Xiaoxin 14 SE 2025 AMD R7-8745HS 14'' 16 512 ГБ,Lenovo,HiGeek,4.9,0,0.0,0,63830.0,50043.0,21.6
611753433,Ноутбук с диагональю 18.5 360 Гц i5 16ГБ +1024ГБ10000 мА ч,Vicyoung,laptop-Wangyue,4.7,5,5.0,5,73385.0,47465.0,35.3
518213811,"Ноутбук Ryzen 5 16ГБ 512ГБ 15.6"" IPS 4-ядра",Vicyoung,WEIKELAI,4.7,5,5.0,3,49144.0,28945.0,41.1
464516744,"Ноутбук игровой 17.3"" Intel Core i5 16ГБ SSD 1ТБ 360Гц",Vicyoung,Vicyoung,4.7,5,5.0,3,62859.0,46201.0,26.5
949578613,"Ноутбук 15.6"" 2ТБ SSD 16ГБ Intel Pentium Windows 11 Pro",PWR,Comp Comp,4.7,0,0.0,0,60900.0,23720.0,61.1
732587037,"Ноутбук 16"" Magicbook X16 2026, R7-7735HS,16 512 ГБ, Серый",HONOR,HiGeek,4.9,5,5.0,4,94757.0,46904.0,50.5
952002962,Ноутбуки Lecoo Bellator 7000 2025 i7-13650HX 16'' 16 512 ГБ,Lenovo,HiGeek,4.9,0,0.0,0,114278.0,89593.0,21.6
727200924,Ноутбуки Lecoo Bellator 7000 2025 16'' R9-8945HX 16 ГБ 1 TБ,Lenovo,HiGeek,4.9,4,4.0,4,131421.0,103033.0,21.6
611753436,"Ноутбук для работы и учебы 17.3 дюйма, 16 ГБ ОЗУ, 1 ГБ SSD",Vicyoung,laptop-Wangyue,4.7,5,5.0,2,51453.0,43992.0,14.5
1085381932,Ноутбук FU61 Intel Core i7 6820HQ 16GB 512GB SSDNVIDIA GTX 1…,PWR,Comp Comp,4.7,0,0.0,0,92000.0,35834.0,61.0
952853117,"Ноутбуки Xiaoxin 14 2025 AMD Ryzen 7 H 255 14"" 16 ГБ 512 ГБ",Lenovo,HiGeek,4.9,5,4.6,5,65990.0,50152.0,24.0
611815295,"Ноутбук игровой 17.3"" 360Гц Intel Core i5-1038NG7 16 1024 ГБ",Vicyoung,laptop-Wangyue,4.7,5,5.0,3,50287.0,43860.0,12.8
952953211,"Ноутбуки Xiaoxin Pro 14 2025 AMD Ryzen 7 H 255 14"" 24ГБ 1TБ",Lenovo,HiGeek,4.9,5,5.0,2,87134.0,62736.0,28.0
